,id,contaminant,average_result,max_result,health_limit_exceeded,legal_limit_exceeded,zipcode,locations_served,supplier_name,violation,date_of_violation,number_of_people_served,health_limit_flag,legal_limit_flag
2977,104892,Copper,446.49 ppb,922 ppb,300 ppb,1000 ppb,74632,"KAW CITY, OK",Kaw City Water Authority,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/08/01 - 2007/08/31,372,Yes,No
2978,105043,Total haloacetic acids (HAAs),1.51 ppb,3 ppb,0.7 ppb,60 ppb,73016,"HENNESSEY, OK",Hennessey,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/08/01 - 2006/08/31,2058,Yes,No
2979,105118,Total trihalomethanes (TTHMs),19.22 ppb,77.1 ppb,9.8 ppb,80 ppb,47666,"FORT BRANCH, IN",Fort Branch Water Department,Monitoring and Reporting Disinfection Byproduct RuleTotal haloacetic acids (HAAs),2004/07/01 - 2004/09/30,3669,Yes,No
2980,105965,Alpha particle activity (excl radon and uranium),5.85 pCi/L,7 pCi/L,. Source,15 pCi,44234,"MANTUA, OH",Maple Del Manor M.H.P.,Monitoring and Reporting Disinfection Byproduct RuleTotal trihalomethanes (TTHMs),2005/01/01 - 2007/12/31,525,Yes,No
2981,105970,Total haloacetic acids (HAAs),16.65 ppb,48.73 ppb,0.7 ppb,60 ppb,44234,"DEERFIELD, OH",Modern Management - All Seasons Mhp,"Failure to monitor, Routine Major (Coliform bacteria)",2005/04/01 - 2005/04/30,500,Yes,No
2982,106063,Total haloacetic acids (HAAs),38.18 ppb,53.6 ppb,0.7 ppb,60 ppb,47118,"ENGLISH, IN",English Water Works,Inadequate reporting of information to the public,2008/10/01 - 2008/10/29,670,Yes,No
2983,106064,Total haloacetic acids (HAAs),41.5 ppb,51.4 ppb,0.7 ppb,60 ppb,47118,"TASWELL, IN","Patoka Water Company, Inc.",Inadequate reporting of information to the public,2008/10/01 - 2008/10/29,540,Yes,No
2984,106395,Total haloacetic acids (HAAs),17.43 ppb,38.7 ppb,0.7 ppb,60 ppb,83544,"PIERCE, ID",City of Pierce,Treatment Technique (Surface Water Treatment Rule),2008/08/01 - 2008/08/31,618,Yes,No
2985,106437,Total haloacetic acids (HAAs),4.22 ppb,6.35 ppb,0.7 ppb,60 ppb,36922,"LISMAN, AL",North Choctaw Water & Sewer Authority,"Failure to monitor, Routine Minor (Coliform bacteria)",2005/08/01 - 2005/08/31,3552,Yes,No
2986,106748,Nitrate,0.23 ppm,0.24 ppm,10 ppm,10 ppm,89439,"EMPIRE, NV",Empire Water Company,"Failure to monitor, Routine Major (Coliform bacteria)",2008/06/01 - 2008/06/30,350,No,No
2987,107365,Lead (total),1.16 ppb,6.7 ppb,. Source,,63703,"JACKSON, MO",Cape Perry Co Pwsd #1 South,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/11/01 - 2004/11/30,5363,Yes,No
2988,107540,Radon,178.25 pCi/L,260 pCi/L,1.5 pCi,. State,56584,"HALSTAD, MN",Halstad,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/07/01 - 2007/09/30,622,Yes,No
2989,107435,Arsenic (total),6.08 ppb,6.71 ppb,. Source,10 ppb,68813,"CALLAWAY, NE",Village of Callaway,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/12/01 - 2004/12/31,637,Yes,No
2990,107437,Arsenic (total),6.16 ppb,6.49 ppb,. Source,10 ppb,68813,"MERNA, NE",Village of Merna,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/10/01 - 2005/10/31,391,Yes,No
2991,107439,Arsenic (total),17.74 ppb,22.05 ppb,. Source,10 ppb,68813,"ANSELMO, NE",Village of Anselmo,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/11/01 - 2007/11/30,159,Yes,Yes
2992,107447,Total trihalomethanes (TTHMs),60.96 ppb,99 ppb,9.8 ppb,80 ppb,74345,"JAY, OK",Jay,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2007/07/01 - 2007/09/30,2482,Yes,Yes
2993,107455,Total haloacetic acids (HAAs),1 ppb,3 ppb,0.7 ppb,60 ppb,74345,"KANSAS, OK",Kansas Public Works Authority,"Failure to monitor, Routine Minor (Coliform bacteria)",2007/06/01 - 2007/06/30,685,Yes,No
2994,107457,Combined Uranium (mg/L),5.4 ppb,7.01 ppb,. Source,30 ppb,74345,"BERNICE, OK",Bernice,Failure to monitor regularlyNitrate & nitrite,2007/01/01 - 2007/12/31,504,Yes,No
2995,107476,Bromoform,3.2 ppb,3.4 ppb,. Source,80 ppb,51230,"LARCHWOOD, IA",Larchwood Water Supply,"Failure to monitor, Routine Major (Coliform bacteria)",2006/06/01 - 2006/06/30,791,Yes,No
2996,107477,Copper,492 ppb,577 ppb,300 ppb,1000 ppb,51230,"DOON, IA",Doon Water Supply,"Over maximum contaminant level, Single SampleNitrate",2006/01/01 - 2006/01/31,533,Yes,No
2997,107800,Arsenic (total),5.7 ppb,12 ppb,. Source,10 ppb,55434,"BLAINE, MN",Blaine,"Over maximum contaminant level, Average1,2-Dichloroethane",2005/02/15 - 2005/04/20,52612,Yes,Yes
2998,108081,Dichloroacetic acid,0.6 ppb,0.6 ppb,. Source,60 ppb,49716,"PETOSKEY, MI",City of Petoskey,Record Keeping Violation,2006/01/01 - 2006/12/31,9500,Yes,No
2999,108082,Dichloroacetic acid,9 ppb,9 ppb,. Source,60 ppb,49716,"HARBOR SPRINGS, MI",City of Harbor Springs,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/02/01 - 2006/02/28,1567,Yes,No
3000,108185,Combined Uranium (pCi/L),7.05 pCi/L,7.4 pCi/L,,15 pCi,50530,"LEHIGH, IA",Lehigh Water Supply,"Over maximum contaminant level, AverageCombined Radium (-226 & -228)",2005/01/01 - 2005/03/31,497,No,No
3001,109620,Dibromochloromethane,0.44 ppb,0.9 ppb,0.4 ppb,80 ppb,21524,"CUMBERLAND, MD",Mccoole Distribution System,Failure to report information to the public or state agency in the Consumer Confidence Report,2008/07/01 - 2008/07/21,830,Yes,No
3002,108190,Radium-228,0.9 pCi/L,0.9 pCi/L,. Source,5 pCi,50530,"MOORLAND, IA",Moorland Water Supply,Failure to monitor regularlyTotal trihalomethanes (TTHMs),2005/07/01 - 2007/08/31,197,Yes,No
3003,108196,Nitrate,0.05 ppm,0.28 ppm,10 ppm,10 ppm,50530,"FORT DODGE, IA",Rabiner Treatment Center,Failure to monitor regularlyAlpha particle activity (excl radon and uranium),2006/10/01 - 2007/09/30,156,No,No
3004,108199,Combined Radium (-226 & -228),1.35 pCi/L,1.4 pCi/L,. Source,5 pCi,50530,"FORT DODGE, ; FORT DODGE, IA",Deer Creek Subdivision (Fort Dodge),"Failure to monitor, Routine Major (Coliform bacteria)",2004/08/01 - 2004/08/31,40,Yes,No
3005,108247,Chloroform,10.22 ppb,33 ppb,5.7 ppb,80 ppb,95634,"GRIZZLY FLATS, CA",Grizzly Flats Community Servic,Monitoring and Reporting Disinfection Byproduct RuleTotal trihalomethanes (TTHMs),2008/01/01 - 2008/03/31,1300,Yes,No
3006,109550,Alpha particle activity (excl radon and uranium),18.28 pCi/L,22.8 pCi/L,. Source,15 pCi,57709,"NEW UNDERWOOD, SD",New Underwood,"Over maximum contaminant level, AverageCombined Radium (-226 & -228)",2004/01/01 - 2004/12/31,616,Yes,Yes
3007,109563,Nitrate,4.4 ppm,4.4 ppm,10 ppm,10 ppm,57709,"WASTA, SD",Wasta,Public Notification Violation for National Primary Drinking Water Regulations,2007/01/12 - 2007/02/26,84,No,No
3008,109763,Trichloroacetic acid,1.27 ppb,3 ppb,20 ppb,60 ppb,52543,"OSKALOOSA, IA",Oskaloosa Municipal Water Dept,Excess Turbidity at 0.3 NTU,2008/10/01 - 2008/10/31,10600,No,No
3009,109779,Total trihalomethanes (TTHMs),51.81 ppb,137.03 ppb,9.8 ppb,80 ppb,8888,"LAMBERTVILLE CI, NJ; LAMBERTVILLE CITY-1017, NJ",United Water Lambertville,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2006/10/01 - 2006/12/31,3500,Yes,Yes
3010,109786,Dibromochloromethane,0.21 ppb,2.3 ppb,0.4 ppb,80 ppb,8888,"BLOOMSBURY BORO, NJ; BLOOMSBURY BORO-1003, NJ",Bloomsbury W Dept,"Failure to monitor, Routine Major (Coliform bacteria)",2004/02/01 - 2004/02/29,900,Yes,No
3011,109791,Combined Uranium (mg/L),3.06 ppb,6 ppb,. Source,30 ppb,8888,"RARITAN TWP.-1021, NJ",Hunterdon Care Center,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/07/01 - 2004/07/31,284,Yes,No
3012,110040,Total haloacetic acids (HAAs),3.94 ppb,12.8 ppb,0.7 ppb,60 ppb,97378,"NEWBERG, OR",City of Newberg,"Failure to monitor, Routine Major (Coliform bacteria)",2004/05/01 - 2004/05/31,19750,Yes,No
3013,110051,Total haloacetic acids (HAAs),8.5 ppb,17.1 ppb,0.7 ppb,60 ppb,97378,"NEWBERG, OR",Northwest Newberg Water Assn,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2025/12/31,170,Yes,No
3014,110490,Nitrate & nitrite,1.07 ppm,2.75 ppm,10 ppm,10 ppm,45815,"OTTAWA, OH",Ottawa Water Treatment Plant,Treatment Technique (Surface Water Treatment Rule),2007/06/01 - 2007/06/30,4196,No,No
3015,110394,Total haloacetic acids (HAAs),35.16 ppb,67.3 ppb,0.7 ppb,60 ppb,62972,"VIENNA, IL",Vienna Correctional Center,"Over maximum contaminant level, AverageChlorite",2004/12/01 - 2004/12/31,3462,Yes,Yes
3016,110493,Total trihalomethanes (TTHMs),20.48 ppb,35.1 ppb,9.8 ppb,80 ppb,45815,"CONTINENTAL, OH",Continental Water Treatment Plant,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2007/07/09,1250,Yes,No
3017,110497,Arsenic (total),1.69 ppb,5.8 ppb,. Source,10 ppb,45815,"OTTOVILLE, OH",Ottoville Village Water Treatment Plant,Inadequate reporting of information to the public,2005/07/01 - 2007/06/07,900,Yes,No
3018,110502,Alpha particle activity (excl radon and uranium),0.86 pCi/L,3.43 pCi/L,. Source,15 pCi,45815,"KALIDA, OH",Stonehedge Llc Mobile Home Community,"Maximum contaminant level, Acute (Coliform bacteria)",2005/08/01 - 2005/08/31,80,Yes,No
3019,110752,Total haloacetic acids (HAAs),34.27 ppb,84.55 ppb,0.7 ppb,60 ppb,65275,"MONROE CITY, MO",Monroe City,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2007/10/01 - 2007/12/31,2700,Yes,Yes
3020,110757,Total haloacetic acids (HAAs),31.67 ppb,71 ppb,0.7 ppb,60 ppb,12821,"FORT EDWARD, NY; FORT EDWARD(V), NY",Fort Edward Village,Excess Turbidity at 0.3 NTU,2004/12/01 - 2004/12/31,3500,Yes,Yes
3021,110759,Total haloacetic acids (HAAs),22.59 ppb,88 ppb,0.7 ppb,60 ppb,12821,"FORT ANN, NY; FORT ANN (T), NY",Great Meadow/Washington Corr. Facilities,Operations Report,2008/12/01 - 2008/12/31,3100,Yes,Yes
3022,110763,Chloroform,52.71 ppb,91.6 ppb,5.7 ppb,80 ppb,12821,"FORT EDWARD, NY; FORT EDWARD(V), NY",Fort Edward WD #1 (Qby/Hf),Operations Report,2006/08/01 - 2006/08/31,1500,Yes,Yes
3023,110764,Manganese,80 ppb,80 ppb,50 ppb,50 ppb,12821,"SALEM (V), NY",Salem Village,State Assigned Maximum Permissible Level Non-ComplianceLead (total),2004/12/15 - 2005/05/25,965,Yes,Yes
3024,110767,Radium-228,1.33 pCi/L,2.5 pCi/L,. Source,5 pCi,12821,"ARGYLE, NY; ARGYLE (V), NY",Argyle Village,Treatment Technique No Certif. Operator,2008/11/12 - 2025/12/31,600,Yes,No
3025,110776,Alpha particle activity,0.65 pCi/L,1.3 pCi/L,. Source,15 pCi,12821,"KINGSBURY, NY; KINGSBURY (T), NY",Kingsbury Carriage Court,Inadequate reporting of information to the public,2006/09/13 - 2006/10/13,30,Yes,No
3026,111300,Total trihalomethanes (TTHMs),36.5 ppb,52 ppb,9.8 ppb,80 ppb,59547,"HARLEM, MT",City of Harlem,"Monitoring and Reporting Disinfection Byproduct RuleCarbon, Total-Organic",2004/04/01 - 2004/06/30,820,Yes,No
3027,111490,Total trihalomethanes (TTHMs),57.84 ppb,153 ppb,9.8 ppb,80 ppb,27320,"REIDSVILLE, NC",Town of Reidsville,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2004/01/01 - 2004/03/31,16378,Yes,Yes
3028,111495,Total trihalomethanes (TTHMs),50.83 ppb,157 ppb,9.8 ppb,80 ppb,27320,"STONEVILLE, NC",Town of Stoneville,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2006/08/06 - 2025/12/31,1130,Yes,Yes
3029,111503,Nitrate,0.14 ppm,0.55 ppm,10 ppm,10 ppm,27320,"REIDSVILLE, NC; REIDSVILLE, OH",Willow Oaks-North Mhp,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2005/04/02 - 2025/12/31,211,No,No
3030,111510,Lead (total),1.2 ppb,2.4 ppb,. Source,,27320,"REIDSVILLE, NC",Dogwood Acres MH S/D,Inadequate reporting of information to the public,2006/07/02 - 2025/12/31,88,Yes,No
3031,111518,Lead (total),1.47 ppb,1.6 ppb,. Source,,27320,"STOKESDALE, NC",Gold Hill Mhp,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2005/11/20 - 2025/12/31,66,Yes,No
3032,111594,Combined Radium (-226 & -228),2.9 pCi/L,2.9 pCi/L,. Source,5 pCi,50674,"SUMNER, IA",Sumner Water Supply,"Failure to monitor, Routine Major (Coliform bacteria)",2006/08/01 - 2006/08/31,2106,Yes,No
3033,111603,Total haloacetic acids (HAAs),11.5 ppb,23 ppb,0.7 ppb,60 ppb,50674,"DENVER, IA",Denver Hills Subdivision,Variance/Exemption/Other Compliance,2006/06/01 - 2006/06/30,50,Yes,No
3034,111600,Nitrate,7.58 ppm,9.54 ppm,10 ppm,10 ppm,50674,"WAVERLY, IA",Waverly Mobile Home Park,"Failure to monitor, Routine Minor (Coliform bacteria)",2007/08/01 - 2007/08/31,150,No,No
3035,111604,Total haloacetic acids (HAAs),0.47 ppb,4.05 ppb,0.7 ppb,60 ppb,97624,"KLAMATH FALLS, OR",Klamath Falls Water Dept,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/08/01 - 2004/08/31,40065,Yes,No
3036,111613,Total haloacetic acids (HAAs),2.39 ppb,3.24 ppb,0.7 ppb,60 ppb,97624,"KENO, OR",Keno Water Co Inc,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/08/01 - 2005/08/31,290,Yes,No
3037,111614,Arsenic (total),0.15 ppb,0.58 ppb,. Source,10 ppb,97624,"GILCHRIST, OR",Gilchrist Water System Llc,"Maximum contaminant level, Acute (Coliform bacteria)",2006/10/01 - 2006/10/31,250,Yes,No
3038,112559,Total haloacetic acids (HAAs),5.27 ppb,6.1 ppb,0.7 ppb,60 ppb,33865,"ZOLFO SPRINGS, FL",Village of Charlie Creek-The,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/01/01 - 2006/01/31,175,Yes,No
3039,112557,Radium-226,2.43 pCi/L,3.7 pCi/L,. Source,5 pCi,33865,"WAUCHULA, FL",F.I.N.R.,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/08/01 - 2005/08/31,300,Yes,No
3040,112783,Lead (total),0.67 ppb,2.66 ppb,. Source,,65786,"MACKS CREEK, MO",Camden Co Pwsd #1,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/12/01 - 2007/12/31,500,Yes,No
3041,112791,Barium (total),188 ppb,188 ppb,700 ppb,2000 ppb,65786,"OSAGE BEACH, MO",Nantucket Bay,"Failure to monitor, Routine Major (Coliform bacteria)",2008/10/01 - 2008/10/31,190,No,No
3042,112827,Lead (total),8.25 ppb,71 ppb,. Source,,65786,"OSAGE BEACH, MO",Oak Shadows Subdivision,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/07/01 - 2007/07/31,36,Yes,No
3043,112840,Lead (total),1.83 ppb,3.29 ppb,. Source,,65786,"CAMDENTON, MO",Thousand Oaks Subdivision,"Failure to monitor, Routine Major (Coliform bacteria)",2008/10/01 - 2008/10/31,25,Yes,No
3044,113112,Bromoform,2.74 ppb,2.74 ppb,. Source,80 ppb,77470,"SHERIDAN, TX",Sheridan Wsc,"Maximum contaminant level, Acute (Coliform bacteria)",2005/06/01 - 2005/06/30,450,Yes,No
3045,113279,Arsenic (total),1.5 ppb,3 ppb,. Source,10 ppb,47978,"DEMOTTE, IN",Stamac II - Demotte Mobile Home Park,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/03/01 - 2006/03/31,76,Yes,No
3046,113280,Di(2-ethylhexyl) phthalate,3.47 ppb,6.94 ppb,. Source,6 ppb,47978,"WHEATFIELD, IN",Heritage Park Apartments,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/08/01 - 2005/08/31,65,Yes,Yes
3047,113776,Beryllium (total),0.06 ppb,0.38 ppb,1 ppb,4 ppb,43788,"CALDWELL, OH",Village of Caldwell,Failure to monitor regularlyNitrate,2004/05/01 - 2004/05/31,7500,No,No
3048,113319,Nitrate,0.81 ppm,1.4 ppm,10 ppm,10 ppm,83543,"REUBENS, ID",City of Reubens,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/04/01 - 2005/04/30,70,No,No
3049,113601,Copper,339.25 ppb,625.2 ppb,300 ppb,1000 ppb,68843,"HORDVILLE, NE",Village of Hordville,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/09/01 - 2004/09/30,164,Yes,No
3050,113781,Total trihalomethanes (TTHMs),58.84 ppb,92.2 ppb,9.8 ppb,80 ppb,43788,"CALDWELL, OH",Pure Water System #2 Pws,Initial Tap Sampling for Lead and Copper,2004/01/01 - 2005/01/10,403,Yes,Yes
3051,113792,Total haloacetic acids (HAAs),4.68 ppb,13.67 ppb,0.7 ppb,60 ppb,43072,"MECHANICSBURG, OH","Mechanicsburg,village of",Monitoring and Reporting Disinfection Byproduct RuleTotal trihalomethanes (TTHMs),2006/01/01 - 2006/12/31,1769,Yes,No
3052,113799,Total haloacetic acids (HAAs),13.1 ppb,39.3 ppb,0.7 ppb,60 ppb,43072,"SPRINGFIELD, OH",Sunset Terrace Mobile Pk,Failure to monitor regularlyNitrite,2004/01/01 - 2004/06/30,85,Yes,No
3053,113801,Total haloacetic acids (HAAs),0.25 ppb,1 ppb,0.7 ppb,60 ppb,43072,"WOODSTOCK, OH",Spring Meadows Care Cent,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2008/02/22,79,Yes,No
3054,114214,Nitrate,8.46 ppm,13.6 ppm,10 ppm,10 ppm,83436,"ASHTON, ID",City of Ashton,"Over maximum contaminant level, AverageNitrate",2008/04/01 - 2008/06/30,1180,Yes,Yes
3055,114590,Lead (total),1.98 ppb,3.96 ppb,. Source,,23881,"CLAREMONT, VA",Town of Claremont,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/11/01 - 2004/11/30,343,Yes,No
3056,114795,Combined Uranium (pCi/L),25.75 pCi/L,45.6 pCi/L,,15 pCi,69353,"GERING, NE",City of Gering,"Over maximum contaminant level, AverageCombined Uranium (mg/L)",2006/01/01 - 2006/03/31,8000,Yes,Yes
3057,114797,Combined Uranium (pCi/L),22.67 pCi/L,22.88 pCi/L,,15 pCi,69353,"MITCHELL, NE",City of Mitchell,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/01/01 - 2007/01/31,1831,Yes,Yes
3058,114798,Arsenic (total),19.71 ppb,29.25 ppb,. Source,10 ppb,69353,"MORRILL, NE",Village of Morrill,"Over maximum contaminant level, AverageCombined Uranium (mg/L)",2005/01/01 - 2005/03/31,974,Yes,Yes
3059,114799,Combined Uranium (mg/L),29.86 ppb,37.9 ppb,. Source,30 ppb,69353,"MINATARE, NE",City of Minatare,"Over maximum contaminant level, AverageCombined Uranium (mg/L)",2004/10/01 - 2004/12/31,806,Yes,Yes
3060,114801,Combined Uranium (pCi/L),19.9 pCi/L,20.95 pCi/L,,15 pCi,69353,"SCOTTSBLUFF, CO; SCOTTSBLUFF, NE",Northside Mobile Home Ranch,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/08/01 - 2005/08/31,200,Yes,Yes
3061,114803,Copper,713 ppb,1196.58 ppb,300 ppb,1000 ppb,69353,"HENRY, NE",Village of Henry,Optimal Corrosion Control Treatment Study Recommendation,2006/07/01 - 2025/12/31,162,Yes,Yes
3062,114855,Total trihalomethanes (TTHMs),58.78 ppb,143 ppb,9.8 ppb,80 ppb,27890,"ENFIELD, NC",Enfield Water System,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2008/04/01 - 2008/06/30,2278,Yes,Yes
3063,114857,Total trihalomethanes (TTHMs),59.93 ppb,218.8 ppb,9.8 ppb,80 ppb,27890,"WELDON, NC",Weldon Water System,"Treatment Technique Precursor RemovalCarbon, Total-Organic",2005/04/01 - 2005/06/30,1375,Yes,Yes
3064,114860,Total haloacetic acids (HAAs),51.93 ppb,74.5 ppb,0.7 ppb,60 ppb,27890,"HALIFAX, NC",Town of Halifax,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2005/04/01 - 2005/06/30,364,Yes,Yes
3065,115101,Atrazine,0.11 ppb,0.25 ppb,0.15 ppb,3 ppb,68925,"ROSELAND, NE",Village of Roseland,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/05/01 - 2007/05/31,240,Yes,No
3066,115471,Total trihalomethanes (TTHMs),79.06 ppb,138.6 ppb,9.8 ppb,80 ppb,43748,"NEW LEXINGTON, OH",City of New Lexington,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/10/01 - 2004/12/31,5000,Yes,Yes
3067,115474,Total trihalomethanes (TTHMs),91.11 ppb,163 ppb,9.8 ppb,80 ppb,43748,"LOGAN, OH",Old Straitsville Water A,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/07/01 - 2004/09/30,2400,Yes,Yes
3068,115483,Total haloacetic acids (HAAs),3.8 ppb,5.1 ppb,0.7 ppb,60 ppb,43748,"GLENFORD, OH",Village of Glenford,"Failure to monitor, Routine Major (Coliform bacteria)",2005/09/01 - 2005/09/30,420,Yes,No
3069,115493,Arsenic (total),10.33 ppb,25 ppb,. Source,10 ppb,43748,"THORNVILLE, OH",Roberts Trailer Park,"Over maximum contaminant level, AverageArsenic (total)",2006/07/01 - 2006/09/30,60,Yes,Yes
3070,117040,Total haloacetic acids (HAAs),0.44 ppb,1.7 ppb,0.7 ppb,60 ppb,85640,"RIO RICO, AZ","Rio Rico Utilities, Inc","Failure to monitor: Check/Repeat/Confirmation sampling1,2,4-Trichlorobenzene",2004/03/19 - 2004/04/02,10257,Yes,No
3071,117188,Bromoform,6.1 ppb,12.2 ppb,. Source,80 ppb,75790,"GRAND SALINE, TX",City of Grand Saline,Public Notification Violation for National Primary Drinking Water Regulations,2007/09/01 - 2025/12/31,3125,Yes,No
3072,119640,Lead (total),0.76 ppb,3.43 ppb,. Source,,63829,"SENATH, MO",Dunklin Co Pwsd #2,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/05/01 - 2005/05/31,2300,Yes,No
3073,119645,Bromoform,<0.01 ppb,<0.01 ppb,. Source,80 ppb,63829,"CARDWELL, MO",Cardwell,"Failure to monitor, Routine Major (Coliform bacteria)",2005/06/01 - 2005/06/30,900,Yes,No
3074,119752,Copper,590.66 ppb,933.33 ppb,300 ppb,1000 ppb,61854,"WHITE HEATH, IL",White Heath Waterworks,"Failure to monitor, Routine Major (Coliform bacteria)",2004/05/01 - 2004/05/31,660,Yes,No
3075,119758,Total trihalomethanes (TTHMs),81.94 ppb,200 ppb,9.8 ppb,80 ppb,52623,"WEST BURLINGTON, IA",West Burlington Muni. Water Supply,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2005/10/01 - 2005/12/31,3161,Yes,Yes
3076,119760,Total trihalomethanes (TTHMs),83.79 ppb,183 ppb,9.8 ppb,80 ppb,52623,"DANVILLE, IA",Danville Water Supply,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2005/10/01 - 2005/12/31,914,Yes,Yes
3077,119800,Total haloacetic acids (HAAs),2.33 ppb,3.9 ppb,0.7 ppb,60 ppb,15001,"MONACA, PA",Monaca Boro Water Dept,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/11/01,6500,Yes,No
3078,119803,Total trihalomethanes (TTHMs),47.55 ppb,66 ppb,9.8 ppb,80 ppb,15001,"BADEN, PA",Baden Boro Water Dept,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/11/01,4377,Yes,No
3079,119810,Total trihalomethanes (TTHMs),83.99 ppb,120 ppb,9.8 ppb,80 ppb,15001,"MARION TWP, PA",Marion Twp Water Sys,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2007/01/01 - 2007/03/31,220,Yes,Yes
3080,120321,Lead (total),0.56 ppb,1.68 ppb,. Source,,65066,"ROSEBUD, MO",Rosebud,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/04/01 - 2006/04/30,360,Yes,No
3081,120328,Total haloacetic acids (HAAs),7.76 ppb,30 ppb,0.7 ppb,60 ppb,47172,"JEFFERSONVILLE, IN",Watson Rural Water Company,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/09/01 - 2006/09/30,11610,Yes,No
3082,120329,Total trihalomethanes (TTHMs),63.91 ppb,116.1 ppb,9.8 ppb,80 ppb,47172,"BORDEN, IN",Borden Tri-County Region,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2006/10/01 - 2006/12/31,9898,Yes,Yes
3083,120330,Total haloacetic acids (HAAs),0.8 ppb,2 ppb,0.7 ppb,60 ppb,47172,"JEFFERSONVILLE, IN",Sellersburg Water Department,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/08/01 - 2008/08/31,9045,Yes,No
3084,120365,Bromoform,3.48 ppb,6.7 ppb,. Source,80 ppb,76631,"AQUILLA, TX",Aquilla Wsc,Public Notification Violation for National Primary Drinking Water Regulations,2006/04/01 - 2025/12/31,294,Yes,No
3085,120705,Manganese,122.3 ppb,238.5 ppb,50 ppb,50 ppb,79372,"LEVELLAND, TX",City of Levelland,"Over maximum contaminant level, Average",2007/10/01 - 2007/12/31,13805,Yes,Yes
3086,120709,Manganese,14.63 ppb,40.6 ppb,50 ppb,50 ppb,79372,"SMYER, TX",City of Smyer,"Over maximum contaminant level, Average",2004/07/01 - 2004/09/30,480,No,No
3087,120707,Gross beta particle activity (pCi/L),34.9 pCi/L,34.9 pCi/L,,15 pCi,79372,"ANTON, TX",City of Anton,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/12/01 - 2007/12/31,1200,Yes,Yes
3088,120708,Arsenic (total),9.42 ppb,14.4 ppb,. Source,10 ppb,79372,"ROPESVILLE, TX",City of Ropesville,"Over maximum contaminant level, Average",2005/01/01 - 2005/03/30,514,Yes,Yes
3089,121867,Total trihalomethanes (TTHMs),98.41 ppb,157 ppb,9.8 ppb,80 ppb,63539,"ELMER, MO",Elmer,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2005/02/17,155,Yes,Yes
3090,122202,Total trihalomethanes (TTHMs),64.45 ppb,150 ppb,9.8 ppb,80 ppb,51521,"CARTER LAKE, IA",Carter Lake Water District,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2008/01/01 - 2008/03/31,3248,Yes,Yes
